iter	Passed	Remaining
0	141	141555
1	142	71001
2	142	47482
3	143	35713
4	143	28651
5	144	23951
6	145	20589
7	145	18066
8	146	16108
9	146	14540
10	147	13259
11	148	12201
12	148	11309
13	149	10545
14	150	9908
15	151	9325
16	152	8805
17	152	8344
18	153	7927
19	154	7553
20	154	7216
21	155	6908
22	155	6626
23	156	6367
24	157	6132
25	157	5913
26	158	5714
27	159	5529
28	159	5355
29	160	5192
30	161	5040
31	161	4898
32	162	4764
33	163	4637
34	164	4531
35	165	4419
36	165	4311
37	166	4218
38	167	4125
39	168	4035
40	168	3948
41	169	3864
42	170	3783
43	170	3707
44	171	3634
45	171	3564
46	172	3498
47	173	3435
48	173	3375
49	174	3316
50	175	3259
51	175	3206
52	176	3153
53	177	3102
54	177	3053
55	178	3006
56	178	2960
57	179	2916
58	180	2874
59	180	2834
60	181	2798
61	182	2759
62	183	2722
63	183	2687
64	184	2652
65	184	2617
66	185	2583
67	186	2551
68	186	2519
69	187	2489
70	187	2459
71	188	2431
72	189	2403
73	189	2376
74	190	2351
75	191	2326
76	191	2301
77	192	2280
78	193	2256
79	194	2232
80	194	2210
81	195	2188
82	195	2163
83	196	2145
84	197	2125
85	198	2105
86	198	2084
87	199	2065
88	199	2045
89	200	2026
90	201	2008
91	201	1991
92	202	1974
93	203	1957
94	203	1941
95	204	1924
96	205	1909
97	205	1894
98	206	1879
99	207	1871
100	208	1857
101	209	1843
102	210	1829
103	211	1820
104	212	1807
105	212	1794
106	213	1781
107	214	1769
108	214	1756
109	215	1743
110	216	1731
111	216	1719
112	217	1707
113	218	1695
114	218	1683
115	219	1671
116	219	1659
117	220	1648
118	221	1638
119	221	1626
120	222	1616
121	222	1604
122	223	1594
123	224	1583
124	224	1573
125	225	1565
126	226	1555
127	227	1546
128	227	1537
129	228	1528
130	229	1519
131	229	1510
132	230	1500
133	230	1492
134	231	1483
135	232	1474
136	232	1466
137	233	1457
138	234	1449
139	234	1441
140	235	1433
141	235	1424
142	236	1416
143	236	1408
144	237	1400
145	238	1393
146	238	1385
147	239	1377
148	239	1370
149	240	1363
150	241	1357
151	242	1351
152	242	1345
153	243	1338
154	244	1331
155	244	1324
156	245	1318
157	246	1311
158	246	1305
159	247	1298
160	247	1291
161	248	1285
162	249	1278
163	249	1272
164	250	1267
165	251	1261
166	251	1255
167	252	1249
168	252	1243
169	253	1238
170	254	1232
171	254	1226
172	255	1220
173	256	1215
174	256	1210
175	257	1204
176	257	1199
177	258	1193
178	259	1188
179	259	1183
180	260	1178
181	260	1172
182	261	1167
183	262	1162
184	262	1157
185	263	1151
186	263	1146
187	264	1142
188	265	1137
189	265	1132
190	266	1128
191	267	1123
192	267	1119
193	268	1114
194	268	1109
195	269	1105
196	270	1100
197	270	1097
198	271	1092
